U,damp 1,damp 2,damp 3,freq 1,freq 2,freq 3
4.28E+01,-8.57E-01,-1.10E-01,-2.64E-02,8.11E+00,5.51E+01,6.08E+01
4.35E+01,-8.91E-01,-1.16E-01,-2.38E-02,8.06E+00,5.50E+01,6.05E+01
4.42E+01,-9.27E-01,-1.21E-01,-2.11E-02,8.01E+00,5.49E+01,6.02E+01
4.49E+01,-9.65E-01,-1.26E-01,-1.84E-02,7.95E+00,5.47E+01,5.99E+01
4.56E+01,-1.01E+00,-1.31E-01,-1.58E-02,7.88E+00,5.45E+01,5.96E+01
4.63E+01,-1.05E+00,-1.35E-01,-1.33E-02,7.81E+00,5.43E+01,5.94E+01
4.70E+01,-1.10E+00,-1.40E-01,-1.11E-02,7.74E+00,5.41E+01,5.91E+01
4.77E+01,-1.15E+00,-1.44E-01,-9.20E-03,7.65E+00,5.39E+01,5.89E+01
4.84E+01,-1.21E+00,-1.47E-01,-7.72E-03,7.56E+00,5.36E+01,5.87E+01
4.91E+01,-1.27E+00,-1.50E-01,-6.64E-03,7.46E+00,5.33E+01,5.85E+01
4.98E+01,-1.33E+00,-1.53E-01,-6.03E-03,7.35E+00,5.30E+01,5.82E+01
5.05E+01,-1.41E+00,-1.55E-01,-5.89E-03,7.22E+00,5.26E+01,5.81E+01
5.12E+01,-1.49E+00,-1.56E-01,-6.22E-03,7.08E+00,5.23E+01,5.79E+01
5.19E+01,-1.59E+00,-1.57E-01,-7.02E-03,6.92E+00,5.19E+01,5.77E+01
5.26E+01,-1.70E+00,-1.57E-01,-8.27E-03,6.74E+00,5.14E+01,5.76E+01
5.33E+01,-1.82E+00,-1.56E-01,-9.90E-03,6.54E+00,5.10E+01,5.74E+01
5.40E+01,-1.97E+00,-1.55E-01,-1.19E-02,6.30E+00,5.05E+01,5.73E+01
5.47E+01,-2.15E+00,-1.54E-01,-1.43E-02,6.02E+00,5.00E+01,5.72E+01
5.54E+01,-2.37E+00,-1.51E-01,-1.68E-02,5.70E+00,4.94E+01,5.71E+01
5.61E+01,-2.67E+00,-1.49E-01,-1.95E-02,5.30E+00,4.88E+01,5.70E+01
