1007084,964334,1007083,964333,1007082,964332
1007081,964331,1007080,964330,1007079,964329
1007078,964328,1007077,964327,1007076,964326
1007075,964325,1007074,964324,1007073,964323
1007072,964322,1007071,964321,1007070,964320
1007069,964319,1007068,964318,1007067,964317
1007066,964316,1007065,964315,1007064,964314
1007063,964313,1007062,964312,1007061,964311
1007060,964310,1007059,964309,1007058,964308
1007057,964307,1007056,964306,1007055,964305
1007054,964304,1007053,964303,1007052,964302
1007051,964301,1007050,964300,1007049,964299
1007048,964298,1007047,964297,1007046,964296
1007045,964295,1007044,964294,1007043,964293
1007042,964292,1007041,964291,1007040,964290
1007039,964289,1007038,964288,1007037,964287
1007036,964286,1007035,964285,1007034,964284
1007033,964283,1007032,964282,1007031,964281
1007030,964280,1007029,964279,1007028,964278
1007027,964277,1007026,964276,1007025,964275
1007024,964274,1007023,964273,1007022,964272
1007021,964271,1007020,964270,1007019,964269
1007018,964268,1007017,964267,1007016,964266
1007015,964265,1007014,964264,1007013,964263
1007012,964262,1007011,964261,1007010,964260
1007009,964259,1007008,964258,1007007,964257
1007006,964256,1007005,964255,1007004,964254
1007003,964253,1007002,964252,1007001,964251
1007000,964250,1006999,964249,1006998,964248
1006997,964247,1006996,964246,1006995,964245
1006994,964244,1006993,964243,1006992,964242
1006991,964241,1006990,964240,1006989,964239
1006988,964238,1006987,964237,1006986,964236
1006985,964235,1006984,964234,1006983,964233
1006982,964232,1006981,964231,1006980,964230
1006979,964229,1006978,964228,1006977,964227
1006976,964226,1006975,964225,1006974,964224
1006973,964223,1006972,964222,1006971,964221
1006970,964220,1006969,964219,1006968,964218
1006967,964217,1006966,964216,1006965,964215
1006964,964214,1006963,964213,1006962,964212
1006961,964211,1006960,964210,1006959,964209
1006958,964208,1006957,964207,1006956,964206
1006955,964205,1006954,964204,1006953,964203
1006952,964202,1006951,964201,1006950,964200
1006949,964199,1006948,964198,1006947,964197
1006946,964196,1006945,964195,1006944,964194
1006943,964193,1006942,964192,1006941,964191
1006940,964190,1006939,964189,1006938,964188
1006937,964187,1006936,964186,1006935,964185
1006934,964184,1006933,964183,1006932,964182
1006931,964181,1006930,964180,1006929,964179
1006928,964178,1006927,964177,1006926,964176
1006925,964175,1006924,964174,1006923,964173
1006922,964172,1006921,964171,1006920,964170
1006919,964169,1006918,964168,1006917,964167
1006916,964166,1006915,964165,1006914,964164
