0,144.97
1,145
2,145.07
3,145.22
4,145.44
5,145.76
6,146.15
7,146.63
8,147.17
8.25,141.26
8.5,141.05
9,141.94
10,143.36
10.5,148.88
11,149.26
12,150.08
12.25,150.29
12.3,150.32
12.35,150.36
12.4,150.41
12.45,150.45
12.5,150.49
13,150.92
13.25,151.13
13.5,151.36
14,151.8
15,152.74
16,153.74
17,154.69
18,155.37
19,156.14
20,156.85
23,158.75
26,161.1
29,163.91
32,166.72
35,169.29
37,170.77
39,171.99
41,172.92
43,173.5
45,173.72
47,173.55
49,173.01
51,172.11
53,170.87
55,169.33
60,164.58
65,159.16
70,153.87
75,149.27
76,148.47
77,147.72
78,147.01
79,146.36
80,145.75
81,145.2
82,144.71
83,144.27
84,143.88
85,143.56
86,143.28
87,143.08
88,142.93
89,142.84
90,142.81
